company_name,industry,country
Apple Inc,Technology,USA
Microsoft Corporation,Technology,USA
Google LLC,Technology,USA
Amazon.com Inc,E-commerce,USA
Meta Platforms Inc,Social Media,USA
Tesla Inc,Automotive,USA
Netflix Inc,Entertainment,USA
Adobe Inc,Software,USA
Salesforce Inc,Software,USA
Oracle Corporation,Software,USA
IBM,Technology,USA
Intel Corporation,Semiconductors,USA
Cisco Systems,Networking,USA
PayPal Holdings,Financial Services,USA
Spotify,Music Streaming,Sweden
Airbnb Inc,Hospitality,USA
Uber Technologies,Transportation,USA
Twitter Inc,Social Media,USA
Zoom Video Communications,Software,USA
Shopify Inc,E-commerce,Canada
Atlassian Corporation,Software,Australia
Stripe Inc,Financial Services,USA
